SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA,,LONG,LAT
1151.688358,EA,ESPACIO ABIERTO,PARQUE,368,PARQUE DE BOLSILLO LUCIO BLANCO 3er SECTOR,"COLONIA LUCIO BLANCO , LATERAL AV. MORONES PRIETO Y JIMENEZ",K1,BOLSILLO,ÃREA PÃšBLICA,ABIERTO,parque de bolsillo,,25.67482209,-100.39218
426.4154305,EA,ESPACIO ABIERTO,PARQUE,372,PARQUE DE BOLSILLO SAN FRANCISCO,LATERAL DE AV. MORONES PRIETO Y LIBERTAD,K1,BOLSILLO,ÃREA PÃšBLICA,ABIERTO,parque de bolsillo,,25.6668689,-100.4079649
499.8417395,EA,ESPACIO ABIERTO,PARQUE,376,ANDADOR CORREGIDORA Y CLOUTHIER,"COLONIA VILLAS DEL OBISPO , CLOUTHIER Y ANDADOR CORRGIDORA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de bolsillo,,25.68061118,-100.4009697
2785.882422,EA,ESPACIO ABIERTO,PARQUE,464,PARQUE FRATERNIDAD,"COLONIA SAN PEDRO 400, URANIO Y CLOUTHIER",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque lineal,,25.68078883,-100.4151583
1449.545929,EA,ESPACIO ABIERTO,PARQUE,1063,PARQUE EL POZO,"COLONIA SAN PEDRO 400, URANIO Y AZUFRE",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68605189,-100.4140876
5890.924917,EA,ESPACIO ABIERTO,PARQUE,1064,PARQUE VISTA DE LA MONTANIA,"COLONIA SAN PEDRO 400 , PLATINO ORIENTE Y VIRGILIO CARDENAS",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68619786,-100.410611
15203.51994,EA,ESPACIO ABIERTO,PARQUE,1067,PARQUE LA FUERZA,"COLONIA EL OBISPO , BELISARIO DOMINGUEZ Y MIGUEL ALEMAN",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.6825558,-100.4049984
4962.571943,EA,ESPACIO ABIERTO,PARQUE,1068,LUCIO BLANCO 2° SECTOR,"COLONIA LUCIO BLANCO , CALLE PLAN DEL RIO Y AV CORREGIDORA",K1,BARRIAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.67283464,-100.4025714
2586.757295,EA,ESPACIO ABIERTO,PARQUE,1098,PARQUE LOS FICUS,"COLONIA REVOLUCION 2Âº , EMILIANO ZAPATA Y FLORES MAGON",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68184193,-100.4095258
7632.968569,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,1102,PARQUE SAN PEDRO 400,"COLONIA SAN PEDRO 400, URANIO Y OSMIO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68814187,-100.4125544
2113.70822,EA,ESPACIO ABIERTO,PARQUE,1103,PARQUE LA AMISTAD ORIENTE,"COLONIA SAN PEDRO 400, URANIO Y COBALTO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque lineal,,25.68317352,-100.414819
2999.625293,EA,ESPACIO ABIERTO,CAMELLON,1107,PARQUE LOS GIRASOLES,,K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.67717635,-100.4001194
14415.41653,EA,ESPACIO ABIERTO,PARQUE,1109,PARQUE VILLITAS DEL OBISPO,"COLONIA VILLITAS DEL OBISPO , FRAY JUAN DE ZUMARRAGA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68891785,-100.4005991
