SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA,LAT,LONG,VALUE
2586.757295,EA,ESPACIO ABIERTO,PARQUE,1098,Parque los Ficus,"COLONIA REVOLUCION 2Âº , EMILIANO ZAPATA Y FLORES MAGON",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68184193,-100.4095258,400
2113.70822,EA,ESPACIO ABIERTO,PARQUE,1103,Parque la Amistad Oriente,"COLONIA SAN PEDRO 400, URANIO Y COBALTO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque lineal,25.68317352,-100.414819,400
1583.54265,EA,ESPACIO ABIERTO,PARQUE,270,Lucio Blanco en Plan del Rio,"COLONIA LUCIO BLANCO 2Âº SECTOR , CALLE PLAN DEL RIO",K1,LINEAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.67302978,-100.3999936,400
1493.555576,EA,ESPACIO ABIERTO,PARQUE,14,Parque Poniente Verde,"COLONIA VILLITAS DEL OBISPO , CLOUTHIER Y ANTONIO DE SASEDON",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.67685794,-100.400277,400
1449.545929,EA,ESPACIO ABIERTO,PARQUE,1063,Parque el Pozo,"COLONIA SAN PEDRO 400, URANIO Y AZUFRE",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68605189,-100.4140876,400
1398.312884,EU,EQUIPAMIENTO URBANO,TANQUE DE AGUA,1296,Parque Manuel Rivera,"COLONIA EL OBISPO , MANUEL RIVERA ANAYA Y JUAN SARABIA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque urbano,25.68011251,-100.4008022,400
1366.943833,EA,ESPACIO ABIERTO,PARQUE,11,Parque la Hormiga,"COLONIA REVOLUCION 1er SECTOR , EMILIANO ZAPATA Y DIVISION DEL NORTE",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68211747,-100.4117631,400
1328.445993,EA,ESPACIO ABIERTO,PARQUE,246,Jesus M. Garza,"COLONIA JESUS M. GARZA ,  AV. MORONES PRIETO Y GRAL. FRANCISCO VILLA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.66571047,-100.4176147,400
1151.688358,EA,ESPACIO ABIERTO,PARQUE,368,Parque de Bolsillo Lucio Blanco 3er Sector,"COLONIA LUCIO BLANCO , LATERAL AV. MORONES PRIETO Y JIMENEZ",K1,BOLSILLO,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.66644464,-100.4086041,400
1107.127025,EU,EQUIPAMIENTO URBANO,ALBERGUE,1359,Jesus M. Garza en Morones Prieto,COLONIA JESUS M. GARZA Y AV. MORONES PRIETO,K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.66536939,-100.4197983,400
980.8443659,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,5,Parque Clouthier,"SECTOR NORPONEINTE DE SAN PEDRO , CLOUTHIER / CORREGIDORA Y CROMO",K1,LINEAL,ÃREA PÃšBLICA,ABIERTO,Parque lineal,25.68095924,-100.4179616,400
924.0066608,EA,ESPACIO ABIERTO,PARQUE,250,Luis Echeverria en Iglesia,"COLONIA FRANCISCO VILLA , CALLE FRANCISCO VILLA",K1,LINEAL,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.67095128,-100.4045003,400
704.1336795,EA,ESPACIO ABIERTO,PARQUE LAS MITRAS,6,Parque las Mitras,"COLONIA SAN PEDRO 400 , SODIO Y POTASIO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68725249,-100.4116712,400
504.1625694,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,16,Luis Echeverria en Corregidora y Francisco Villa,"COLONIA FRANCISCO VILLA , CALLE FRANCISCO VILLA Y CORREGIDORA",K1,BARRIAL,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.67202392,-100.4027485,400
499.8417395,EA,ESPACIO ABIERTO,PARQUE,376,Andador Corregidora y Clouthier,"COLONIA VILLAS DEL OBISPO , CLOUTHIER Y ANDADOR CORRGIDORA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.68061118,-100.4009697,400
426.4154305,EA,ESPACIO ABIERTO,PARQUE,372,Parque de Bolsillo San Francisco,LATERAL DE AV. MORONES PRIETO Y LIBERTAD,K1,BOLSILLO,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.6668689,-100.4079649,400
112.9853392,EA,ESPACIO ABIERTO,PARQUE,239,Parque Lineal Los Pinos,"COL. LOS PINOS , CALLE SOFÃA TRAMO ART, 27 A TERMINAL SOFIA LADO ORIENTE",K1,LINEAL,ÃREA PÃšBLICA,ABIERTO,Parque de bolsillo,25.67194669,-100.396813,400
